epoch,train_loss,val_loss
1,1.84837796,1.67040026
2,1.60716658,1.48874190
3,1.46530499,1.38199151
4,1.37772567,1.30600590
5,1.30794707,1.23854801
6,1.25132115,1.19000068
7,1.19926910,1.13411140
8,1.15705358,1.10858378
9,1.11894178,1.06179911
10,1.08350704,1.02727112
11,1.05685756,0.98961550
12,1.02945775,0.96930979
13,1.01126860,0.96037550
14,0.99317456,0.94273494
15,0.97875632,0.95337468
16,0.96245104,0.90519807
17,0.94678776,0.90068305
18,0.94095854,0.90179992
19,0.92165142,0.88477519
20,0.91514770,0.85455012
21,0.90533394,0.86476201
22,0.89830232,0.84959789
23,0.88979867,0.84908953
24,0.87964916,0.85178411
25,0.87737645,0.86348826
26,0.87731359,0.84002076
27,0.85858875,0.85507385
28,0.85767187,0.83104050
29,0.85576564,0.82996188
30,0.85026484,0.83355965
31,0.84337849,0.81711635
32,0.84719391,0.84169646
33,0.83057776,0.81894857
34,0.83170409,0.81848036
35,0.82630186,0.81142122
36,0.81455401,0.82553314
37,0.81377562,0.81864709
38,0.80824470,0.80244832
39,0.80502887,0.82627752
40,0.80687444,0.80003902
41,0.80849214,0.82064402
42,0.79536627,0.79639587
43,0.79148273,0.80276442
44,0.79510695,0.80360048
45,0.78842879,0.80901878
46,0.77568666,0.83023010
47,0.77923673,0.78070536
48,0.77518257,0.80663997
49,0.77517191,0.77173164
50,0.76289457,0.76616776
51,0.77319595,0.79068954
52,0.75938217,0.80271129
53,0.75038692,0.81642283
54,0.74969249,0.81124388
55,0.74302401,0.78190878
56,0.73881751,0.75854640
57,0.74554518,0.83438292
58,0.73989018,0.80261727
59,0.74463610,0.87787798
60,0.74506544,0.86883780
61,0.72432165,0.86211199
62,0.71516304,0.79918627
63,0.71449679,0.86506246
64,0.71476110,0.84619758
65,0.71993350,0.80497791
66,0.71900805,0.84221028
67,0.70777698,0.78864890
68,0.70920825,0.84431431
69,0.70540096,0.82148771
70,0.70762879,0.88934349
71,0.71743811,0.80684941
72,0.70970954,0.84501073
73,0.69687193,0.80245692
74,0.69068049,0.81743915
75,0.67879684,0.79742724
76,0.68469885,0.79659942
77,0.67880115,0.80617921
78,0.68378862,0.78765331
79,0.67355403,0.82404450
80,0.67603788,0.82217513
81,0.67033242,0.79444119
82,0.66123120,0.83183333
83,0.65944819,0.80138244
84,0.66275269,0.76793794
85,0.66315472,0.73373444
86,0.67135458,0.88474028
87,0.67283684,0.77679186
88,0.65887494,0.92748401
89,0.66724982,0.81565037
90,0.64502389,0.77468401
91,0.63937953,0.78545667
92,0.64925167,0.87155378
93,0.64495060,0.83824940
94,0.64343526,0.86830910
95,0.63338587,0.85397935
96,0.62916517,0.95323011
97,0.63501264,0.83487156
98,0.64930075,0.81006531
99,0.63704923,0.78555115
100,0.63006664,0.83301985
101,0.62231964,0.82904908
102,0.63231090,0.84866567
103,0.63262984,0.82379286
104,0.62640496,0.81871681
105,0.64379818,0.89467964
106,0.62327961,0.82917215
107,0.61035667,0.75002320
108,0.62100213,0.83040252
109,0.61913720,0.92097898
110,0.64101026,0.88279963
111,0.63812264,0.76004606
112,0.62869638,0.78772062
113,0.60094946,0.89144747
114,0.59204507,0.87558886
115,0.59543647,0.89731744
116,0.62972391,0.86381173
117,0.59981449,0.96566613
118,0.60564891,0.79380800
119,0.59831282,0.83720292
120,0.59833073,0.87837115
121,0.60815115,0.75153913
122,0.59350293,0.79532699
123,0.58830863,0.80959950
124,0.58904611,0.95937046
125,0.57822264,0.96401407
126,0.59317501,0.87629850
127,0.58575157,0.94677508
128,0.57756489,0.81981789
129,0.58588288,0.86020556
130,0.57387659,0.86251049
131,0.57679626,0.90293157
132,0.60315583,0.84923360
133,0.58364846,0.81653892
134,0.62816608,0.82313313
135,0.58941775,0.90293926
136,0.57916533,0.96219793
137,0.57487962,0.87257345
138,0.56402827,0.90281281
139,0.55975871,0.97605181
140,0.56039433,0.98384322
141,0.55612436,0.88868178
142,0.56621387,0.97545674
143,0.59101529,1.02849834
144,0.65496032,0.81161514
145,0.57972480,0.89446123
146,0.56809377,0.85711998
147,0.55214435,0.92048433
148,0.55349449,0.95626776
149,0.54764442,0.93715002
150,0.55623363,0.83178967
