epoch,train_loss,val_loss
1,0.62082087,0.54961955
2,0.57560700,0.53595312
3,0.56122481,0.53643023
4,0.54801473,0.53026018
5,0.54148194,0.49862876
6,0.53037468,0.48513886
7,0.52436778,0.48514029
8,0.51597755,0.48651051
9,0.50827583,0.47955554
10,0.50940580,0.46958610
11,0.50761848,0.47872661
12,0.50001086,0.47022851
13,0.49899311,0.45754009
14,0.49017829,0.46236954
15,0.48881630,0.46526282
16,0.48970055,0.44952131
17,0.47739904,0.44680258
18,0.47291466,0.47470769
19,0.47301857,0.44841257
20,0.46271800,0.43363169
21,0.45860361,0.44205369
22,0.46440674,0.45161652
23,0.46108575,0.45094422
24,0.45195423,0.47895380
25,0.45290308,0.44385802
26,0.44880788,0.43988928
27,0.44646105,0.45968357
28,0.44883452,0.42896507
29,0.44117268,0.43513169
30,0.43554802,0.43359577
31,0.43285779,0.42983854
32,0.43944269,0.45230169
33,0.42913913,0.43392818
34,0.42306025,0.43166319
35,0.43197041,0.45841921
36,0.42697193,0.41051186
37,0.41550185,0.43380933
38,0.41951059,0.45968826
39,0.41818876,0.41600637
40,0.40669677,0.44377677
41,0.41095671,0.43079532
42,0.41773661,0.44393998
43,0.40314341,0.43241235
44,0.40412013,0.42384933
45,0.40566510,0.40185530
46,0.39438891,0.42115443
47,0.39481731,0.41032526
48,0.40068168,0.45544130
49,0.39561782,0.48339489
50,0.39946031,0.39898291
51,0.39341490,0.40464404
52,0.37937476,0.43238858
53,0.38238605,0.43031590
54,0.38151354,0.44210817
55,0.37071703,0.47519329
56,0.37021942,0.52950259
57,0.36137609,0.42991253
58,0.36888458,0.43704014
59,0.36616412,0.44065589
60,0.36710073,0.42231793
61,0.35907271,0.43817325
62,0.36191529,0.46963707
63,0.35505916,0.48759195
64,0.35549114,0.43341039
65,0.35576888,0.39887060
66,0.34673317,0.39032119
67,0.33756811,0.47602622
68,0.35604034,0.42927550
69,0.32740711,0.50101289
70,0.34941899,0.41324350
71,0.32226455,0.45058705
72,0.35912999,0.45453068
73,0.32166451,0.43622091
74,0.32130753,0.45815708
75,0.32575059,0.43392736
76,0.31904896,0.44091690
77,0.31855312,0.46441867
78,0.31843573,0.45564053
79,0.31961130,0.55119703
80,0.30867488,0.44718614
81,0.29654890,0.48750179
82,0.30363431,0.43149887
83,0.30399172,0.45921991
84,0.30706212,0.42080809
85,0.29399089,0.43336298
86,0.30225172,0.45847603
87,0.30803732,0.51463656
88,0.28358867,0.48576422
89,0.31092491,0.56431570
90,0.31488929,0.44371351
91,0.27896403,0.50902409
92,0.26711291,0.51440816
93,0.27962630,0.54483661
94,0.27916082,0.42404366
95,0.27243962,0.48568374
96,0.27491467,0.53185893
97,0.27574143,0.50427837
98,0.27691228,0.46409710
99,0.29538054,0.55442676
100,0.28567628,0.43812019
101,0.26168987,0.43643533
102,0.26506423,0.46025050
103,0.26237266,0.41447427
104,0.23985211,0.46914193
105,0.24698539,0.46878006
106,0.26303683,0.58025656
107,0.29804373,0.40964151
108,0.26213009,0.42789971
109,0.24841658,0.42250894
110,0.24494486,0.61191815
111,0.25346852,0.49364414
112,0.24989291,0.49876688
113,0.25328204,0.49846804
114,0.25628570,0.53550113
115,0.23274213,0.51871410
116,0.24033858,0.47183730
117,0.26391350,0.43330129
118,0.26766579,0.43435709
119,0.23586360,0.49214806
120,0.23132702,0.48111049
121,0.23965710,0.51233921
122,0.25203663,0.50527921
123,0.22804473,0.57318872
124,0.25190023,0.50835107
125,0.25417488,0.60670839
126,0.24819212,0.52066486
127,0.24646783,0.44933639
128,0.22211723,0.47144376
129,0.21271862,0.48964481
130,0.24390242,0.59850043
131,0.23503418,0.42576022
132,0.23515806,0.48275493
133,0.22369531,0.44057324
134,0.26022378,0.51384407
135,0.22664745,0.46336085
136,0.21587308,0.50482473
137,0.23830014,0.62980853
138,0.23087506,0.46867132
139,0.21110347,0.48514688
140,0.22199959,0.45698700
141,0.20829486,0.54162355
142,0.20796937,0.58723720
143,0.21572255,0.53829711
144,0.22490882,0.48981391
145,0.24369543,0.54590288
146,0.22155831,0.43310327
147,0.23540585,0.48992850
148,0.22723047,0.51902099
149,0.21927141,0.52410711
150,0.21067729,0.53246236
