epoch,train_loss,val_loss
1,1.02576883,0.95228857
2,0.93701879,0.88561738
3,0.87586199,0.82363164
4,0.82629435,0.74474001
5,0.78497252,0.70862794
6,0.75473543,0.67566204
7,0.73005304,0.67049652
8,0.71174334,0.64769495
9,0.69160509,0.62292427
10,0.67420961,0.61783826
11,0.66190506,0.59418851
12,0.64522695,0.57941118
13,0.63473210,0.58470756
14,0.62355193,0.55741259
15,0.60744176,0.55163670
16,0.59662768,0.53537202
17,0.58850158,0.53258866
18,0.57997815,0.52923398
19,0.56457102,0.51987717
20,0.55379947,0.50645426
21,0.55080661,0.50994769
22,0.53537870,0.48155987
23,0.53184369,0.49883343
24,0.52697859,0.47041173
25,0.52267006,0.46974105
26,0.51245034,0.43825239
27,0.49933452,0.47163703
28,0.49943069,0.45845941
29,0.47506667,0.46858993
30,0.46879254,0.46766071
31,0.46399760,0.43604857
32,0.45993383,0.49378781
33,0.46172194,0.46385084
34,0.46073684,0.43623845
35,0.44878460,0.45471826
36,0.43641372,0.43308984
37,0.44027207,0.49194968
38,0.42675510,0.51231962
39,0.41021354,0.45204061
40,0.40888034,0.39394405
41,0.39458762,0.58678439
42,0.39744715,0.39732420
43,0.38620618,0.40328068
44,0.40722171,0.42238690
45,0.37048759,0.45376074
46,0.38015603,0.39839214
47,0.36150561,0.38695303
48,0.36345073,0.47755730
49,0.42960275,0.39947265
50,0.37123545,0.38440168
51,0.36106720,0.42668641
52,0.34235173,0.39581914
53,0.34544358,0.41391727
54,0.33173218,0.50260489
55,0.31173975,0.37079974
56,0.34936222,0.35355136
57,0.33634901,0.34017895
58,0.32478757,0.39924011
59,0.30762305,0.50689061
60,0.31468902,0.35885113
61,0.32260300,0.35943280
62,0.30780522,0.44714391
63,0.31254840,0.54526606
64,0.32920405,0.39244708
65,0.29901554,0.46892670
66,0.29034051,0.44227260
67,0.29250291,0.43577987
68,0.28107266,0.46380433
69,0.28141244,0.44882825
70,0.27586858,0.37520379
71,0.27697299,0.44219880
72,0.27793496,0.46624467
73,0.27737924,0.44270700
74,0.26389111,0.49130383
75,0.26241372,0.44608931
76,0.26545806,0.55411440
77,0.30013531,0.41562885
78,0.32256061,0.45920734
79,0.28691121,0.62677720
80,0.28968061,0.41446897
81,0.26995101,0.41755110
82,0.24692653,0.39308880
83,0.25551637,0.46425873
84,0.24977931,0.56795630
85,0.25319533,0.46320598
86,0.23766290,0.39971572
87,0.24426764,0.46956800
88,0.24655843,0.47131410
89,0.23975040,0.44753343
90,0.23755831,0.71776849
91,0.24490378,0.32258740
92,0.25365569,0.46372108
93,0.24622182,0.53849337
94,0.24332730,0.45710838
95,0.24021738,0.42306823
96,0.24878367,0.43229511
97,0.23301631,0.41932622
98,0.22667642,0.66181982
99,0.22429116,0.39167958
100,0.22339634,0.41909757
101,0.23096701,0.33277558
102,0.22051844,0.40776600
103,0.21257964,0.48142813
104,0.22529554,0.40605177
105,0.21964443,0.45966588
106,0.20010761,0.54210493
107,0.21087750,0.46333972
108,0.23012883,0.39673220
109,0.21851234,0.47639242
110,0.19646021,0.47683331
111,0.19544475,0.44250160
112,0.19617747,0.52550326
113,0.19970944,0.42264426
114,0.19609036,0.42743385
115,0.19712599,0.55247906
116,0.19261819,0.59245437
117,0.20649803,0.60510334
118,0.17412185,0.47835983
119,0.18687208,0.47633153
120,0.19601103,0.49953671
121,0.19936747,0.46544096
122,0.18746203,0.48061982
123,0.18096354,0.44913062
124,0.17890713,0.68677819
125,0.17661050,0.43547791
126,0.17599153,0.54409125
127,0.18372759,0.45404956
128,0.18719658,0.44852155
129,0.19634938,0.48055476
130,0.19258440,0.49487990
131,0.18182870,0.38900700
132,0.16762655,0.41422978
133,0.17696906,0.38916337
134,0.16745360,0.50549193
135,0.15084953,0.44619727
136,0.16449318,0.46153365
137,0.16371470,0.46266681
138,0.16200362,0.33869080
139,0.16912565,0.44435355
140,0.17811273,0.41308932
141,0.21922683,0.39713474
142,0.20007567,0.61295265
143,0.18512116,0.49219283
144,0.18028142,0.39035505
145,0.17661451,0.37070987
146,0.17336261,0.48065519
147,0.17288585,0.50835052
148,0.16705374,0.42921157
149,0.15690207,0.49891612
150,0.15243878,0.39144342
