epoch,train_loss,val_loss
1,1.58372691,1.39910361
2,1.44525922,1.25374159
3,1.36874031,1.17208582
4,1.31270234,1.10953358
5,1.27757801,1.07706445
6,1.25276557,1.04968861
7,1.22866492,1.00938898
8,1.20813697,0.99295042
9,1.19663178,1.01814298
10,1.18019217,0.93890892
11,1.16231917,1.06025994
12,1.15403485,0.97486098
13,1.13997365,0.95006603
14,1.14710489,0.99516356
15,1.12031833,0.94667068
16,1.13182781,1.03819740
17,1.11141024,0.92320047
18,1.10191984,1.03648615
19,1.09540737,1.04228194
20,1.08542091,0.89339431
21,1.09600094,0.91752043
22,1.08092667,0.99980590
23,1.06454528,0.96029262
24,1.06116359,0.88059932
25,1.06084857,0.95070776
26,1.04792709,0.93552788
27,1.06316828,0.92997703
28,1.04246030,1.01264411
29,1.04687201,1.09018058
30,1.03331152,1.01066761
31,1.02970640,0.92266351
32,1.05778465,1.00340079
33,1.03251406,1.00432616
34,1.01589143,0.94997574
35,1.01096996,1.00579353
36,1.01261439,0.93492460
37,1.00106300,0.94120318
38,1.00521245,0.94449610
39,0.98991984,0.91489688
40,1.00180501,1.02941920
41,0.99430309,0.95680483
42,0.99772231,0.94198228
43,0.97695820,0.98648691
44,0.97329464,0.95397404
45,0.97840636,0.91513072
46,0.96888465,0.95894784
47,0.97316334,1.02005917
48,0.95416886,0.95665945
49,0.96081704,0.92488435
50,0.96359653,1.02278291
51,0.95076354,0.96563841
52,0.93991866,0.96402092
53,0.93302133,0.93952292
54,0.99709817,1.02105272
55,0.94586395,0.99744804
56,0.94468741,1.08591056
57,0.95640562,1.03245622
58,0.92053627,0.90833227
59,0.95897813,1.04006867
60,0.93320851,0.95733607
61,0.92042093,0.95466882
62,0.92493734,0.92765135
63,0.90537424,0.94885921
64,0.91301077,1.02809408
65,0.90619773,1.01198874
66,0.89869055,1.04245654
67,0.89609851,0.96076983
68,0.89986670,0.98050675
69,0.89124429,0.94582674
70,0.88661002,1.06732769
71,0.87881244,0.93693763
72,0.92689449,0.92709728
73,0.91500024,0.95727278
74,0.88462036,0.98091622
75,0.88298294,0.94637071
76,0.87062858,0.96557285
77,0.90903636,1.00676163
78,0.87322611,0.99040884
79,0.87320806,1.04526713
80,0.85879463,0.91344443
81,0.93173671,0.92053290
82,0.86867547,1.01592298
83,0.84788016,0.94535312
84,0.84966240,0.96769951
85,0.85712719,1.00106809
86,0.83784543,0.98323618
87,0.85608709,1.17468002
88,0.84416598,1.01698817
89,0.82654622,1.01676139
90,0.83379956,1.21390560
91,0.86877996,0.94032010
92,0.88882123,1.03407054
93,0.83557838,1.11108716
94,0.81725980,1.02297160
95,0.82597969,1.08566020
96,0.80906992,1.09788823
97,0.80418807,1.10322806
98,0.87191611,0.97888412
99,0.88790633,0.82838918
100,0.85300353,1.01365164
101,0.81020026,1.11354962
102,0.83298388,1.08392331
103,0.84118849,1.03408083
104,0.79597780,0.94853680
105,0.80317987,1.14908716
106,0.83607387,1.04880783
107,0.81877278,1.04062383
108,0.81479052,1.14499527
109,0.79572507,1.16580582
110,0.77853040,1.18456364
111,0.77227418,1.16249585
112,0.76350950,1.06468356
113,0.78204348,1.10200730
114,0.77256143,1.16526859
115,0.77993090,1.19220626
116,0.76186668,1.12290829
117,0.74433614,1.19980259
118,0.77812309,1.11876574
119,0.75582988,1.15341814
120,0.75166246,1.09680185
121,0.73614460,1.16186030
122,0.75631749,1.24866006
123,0.74396621,1.06042950
124,0.74887570,1.21418582
125,0.76405055,1.19383216
126,0.78761152,1.13450687
127,0.79833620,1.18617131
128,0.76116143,1.10193884
129,0.74526245,1.15020294
130,0.72651181,1.17347592
131,0.81521258,1.09727487
132,0.83174467,0.78524004
133,0.84717043,1.07149288
134,0.79190917,1.08465472
135,0.83716439,0.99041250
136,0.77292914,1.19168703
137,0.75468023,1.30195707
138,0.74923522,1.21051116
139,0.73206403,1.14592925
140,0.73513944,1.15450630
141,0.72585984,1.23302324
142,0.71426078,1.20081107
143,0.71173172,1.26228891
144,0.70647205,1.23431185
145,0.70145913,1.26866846
146,0.70792727,1.28408015
147,0.70772619,1.33112441
148,0.70464404,1.27804874
149,0.70010949,1.26455154
150,0.72103381,1.23987639
