epoch,train_loss,val_loss
1,0.61346604,0.66070246
2,0.56621531,0.61704852
3,0.53811224,0.57548209
4,0.51953827,0.53422415
5,0.49652314,0.60229721
6,0.47146332,0.50285390
7,0.46131642,0.43494977
8,0.45137355,0.43944792
9,0.44655621,0.41720352
10,0.42216000,0.39388903
11,0.41710915,0.49486946
12,0.39710577,0.38662285
13,0.39808735,0.38023934
14,0.38753539,0.46013783
15,0.38831530,0.39230846
16,0.37463275,0.36938286
17,0.36197198,0.39870769
18,0.36015304,0.30579564
19,0.35340384,0.39176326
20,0.36785260,0.32980179
21,0.35729597,0.46717333
22,0.35795428,0.32433450
23,0.33485798,0.46121055
24,0.33724849,0.29235657
25,0.32511016,0.31148184
26,0.33386064,0.31478119
27,0.32922033,0.44131426
28,0.32008222,0.25902760
29,0.32604541,0.34590593
30,0.31986847,0.37121553
31,0.32541623,0.28651333
32,0.31876352,0.40138254
33,0.32032381,0.27568500
34,0.30970139,0.31173463
35,0.31508398,0.34883166
36,0.30297447,0.37693713
37,0.30374665,0.33196704
38,0.30511308,0.32113816
39,0.29354252,0.32299587
40,0.30625646,0.31278554
41,0.29768080,0.38338741
42,0.29704962,0.25167107
43,0.30185424,0.30303510
44,0.28939420,0.31987461
45,0.30013574,0.28579914
46,0.28269094,0.27647259
47,0.28142910,0.29408908
48,0.28249814,0.30569456
49,0.28786599,0.23636970
50,0.28967382,0.28670015
51,0.28139663,0.24009971
52,0.28406200,0.31751068
53,0.28582805,0.34349154
54,0.28276977,0.28841683
55,0.27218409,0.30755646
56,0.27596823,0.33230024
57,0.26924238,0.34390628
58,0.28073666,0.23451013
59,0.27664885,0.23637801
60,0.26346939,0.25537771
61,0.26682297,0.29716230
62,0.27964111,0.28876584
63,0.26411562,0.30031736
64,0.26753108,0.31576756
65,0.26269993,0.30753428
66,0.26300369,0.31191584
67,0.26487772,0.29400435
68,0.25107395,0.23902449
69,0.27424329,0.28257663
70,0.25457574,0.23369214
71,0.26196036,0.25633915
72,0.25360462,0.33046146
73,0.26353821,0.28534092
74,0.24696676,0.24369977
75,0.25396772,0.21208702
76,0.25304475,0.29755620
77,0.24859387,0.27515075
78,0.25203837,0.23481096
79,0.24887479,0.27912338
80,0.24391627,0.34090620
81,0.24664277,0.20824448
82,0.25960087,0.37811971
83,0.24460359,0.31789086
84,0.24858204,0.29525566
85,0.23440444,0.21760366
86,0.23229743,0.24428671
87,0.25461960,0.32184284
88,0.23620938,0.21812454
89,0.24127621,0.28281155
90,0.24488283,0.27291743
91,0.23192852,0.28135606
92,0.23666154,0.24680609
93,0.24132248,0.34506096
94,0.22783709,0.29801758
95,0.23525829,0.31501175
96,0.22725156,0.29312031
97,0.22933188,0.37954657
98,0.23294375,0.28953867
99,0.22311669,0.26428465
100,0.22112943,0.32493066
101,0.22329651,0.25625133
102,0.21789621,0.20925418
103,0.23802667,0.27257953
104,0.22807028,0.27641122
105,0.22676228,0.25726139
106,0.22133604,0.28306864
107,0.21333986,0.19117906
108,0.22014656,0.28568657
109,0.21006813,0.26265002
110,0.21457130,0.25762901
111,0.21095208,0.31741233
112,0.22110517,0.33554549
113,0.21554649,0.22355642
114,0.21846231,0.32284287
115,0.22829661,0.25241009
116,0.21392271,0.26317002
117,0.19959774,0.21312689
118,0.21177699,0.24471769
119,0.21778905,0.25143653
120,0.21648528,0.26903251
121,0.20134449,0.23469732
122,0.20621647,0.30491967
123,0.21612192,0.31834136
124,0.21903603,0.30031199
125,0.20709293,0.27751723
126,0.19984952,0.31267770
127,0.19611832,0.25995307
128,0.19095173,0.26180398
129,0.19782032,0.28147915
130,0.19778308,0.24782118
131,0.22020046,0.25460071
132,0.20023411,0.26705579
133,0.19859290,0.23024364
134,0.19723614,0.23375147
135,0.19903346,0.28977818
136,0.20483609,0.27723923
137,0.18483990,0.25726613
138,0.18708264,0.36934253
139,0.19565654,0.27444255
140,0.18674528,0.32499829
141,0.18588588,0.20981590
142,0.19053302,0.33380861
143,0.19063666,0.39997137
144,0.18928761,0.24829518
145,0.18738250,0.24779629
146,0.19412281,0.24056927
147,0.17698260,0.23777194
148,0.18151330,0.30241500
149,0.19315611,0.27088013
150,0.18464661,0.23779103
