epoch,train_loss,val_loss
1,2.11399160,1.89234236
2,1.84587785,1.76528192
3,1.71544620,1.72146595
4,1.64294989,1.67828768
5,1.58598625,1.65380660
6,1.54018369,1.63605437
7,1.50125209,1.61815682
8,1.46745764,1.60765299
9,1.43788013,1.59434074
10,1.41196988,1.58559492
11,1.38789697,1.57750946
12,1.37006445,1.57783717
13,1.35251316,1.56946579
14,1.35230736,1.57076913
15,1.32161145,1.57120770
16,1.30733173,1.56434786
17,1.29826569,1.54339680
18,1.28725868,1.56414834
19,1.27847226,1.57865608
20,1.26825223,1.57361712
21,1.25916021,1.57637599
22,1.25392522,1.56820306
23,1.25215653,1.57963461
24,1.23753391,1.57492825
25,1.23296232,1.57463391
26,1.23909361,1.57940584
27,1.21742051,1.59226051
28,1.22077906,1.60370456
29,1.20596384,1.59362361
30,1.19683204,1.61638655
31,1.19897485,1.61345965
32,1.19921064,1.61299832
33,1.19672006,1.61917503
34,1.18083730,1.63040897
35,1.17187605,1.62733451
36,1.16839296,1.62865740
37,1.18421441,1.64134292
38,1.15101995,1.63230240
39,1.18643730,1.61154945
40,1.18008766,1.64061186
41,1.18295128,1.64806122
42,1.14236113,1.66437888
43,1.11348839,1.66080670
44,1.12588285,1.68084696
45,1.12255831,1.69121598
46,1.08828336,1.69127388
47,1.09305213,1.66640235
48,1.11226327,1.67566544
49,1.07068187,1.70335713
50,1.04839366,1.67839065
51,1.04229895,1.70498776
52,1.06279990,1.72160372
53,1.04316173,1.71581750
54,1.07593761,1.71686943
55,1.22122313,1.63397525
56,1.17435276,1.61659098
57,1.18161045,1.68311806
58,1.14607689,1.67106512
59,1.10702570,1.73770460
60,1.06309170,1.75403333
61,1.02024601,1.72182605
62,1.08327743,1.76182814
63,1.04516898,1.75246306
64,1.01662247,1.77749726
65,1.06140860,1.78935665
66,1.00197207,1.78814816
67,0.99601170,1.79002659
68,0.99284527,1.81284061
69,0.98048876,1.80080079
70,0.97257613,1.77815244
71,0.98566029,1.80515927
72,1.05086514,1.79434346
73,0.98228560,1.85108073
74,0.96487618,1.85856508
75,0.95899389,1.81695072
76,0.99375878,1.83529469
77,0.99585344,1.82805316
78,0.95649851,1.88197200
79,0.96144944,1.79249457
80,0.95403034,1.87880018
81,0.95054438,1.88037474
82,0.94695681,1.84766476
83,0.93464912,1.89986205
84,0.92974367,1.87925380
85,0.92495693,1.85911182
86,0.93898554,1.87152639
87,1.05071042,1.82619558
88,0.94280869,1.92664967
89,0.92181288,1.96536806
90,0.95489539,1.93105468
91,0.96219346,2.02918756
92,0.95124739,2.00470340
93,0.93175008,1.91353695
94,0.91581830,1.92456612
95,0.90245751,2.00627813
96,0.91059380,1.90358686
97,0.90431964,1.95514876
98,0.91277904,1.97012858
99,1.02319085,1.89659068
100,0.92499409,1.88354243
101,0.92171310,1.97263087
102,0.91378164,1.97519171
103,0.89237903,1.95780665
104,0.89659978,2.00291058
105,0.88556113,2.01167326
106,0.88580553,1.97243062
107,0.87442760,1.97403897
108,0.87782521,1.98097101
109,0.89259553,1.99927911
110,0.88105112,1.95759419
111,0.86728685,2.05150135
112,0.87062684,1.91635388
113,0.86103347,1.99019669
114,0.86926994,2.00410925
115,0.85520868,1.98237789
116,0.85868341,2.01783276
117,0.85441816,2.12808107
118,0.84707535,2.00727238
119,0.89126002,2.04637772
120,0.84600058,2.08983676
121,0.84953541,2.11145733
122,0.85856952,2.07954258
123,0.86531447,2.01617347
124,0.83670945,2.04313551
125,0.83597600,2.09415668
126,0.83474707,2.10715407
127,0.83818756,2.00455998
128,0.82478531,2.03976554
129,0.83377333,2.04527600
130,0.81638811,2.10664748
131,0.81888456,2.10230646
132,0.84367015,2.00523907
133,0.83088072,2.17828783
134,0.81020778,2.09078510
135,0.80160603,2.22338617
136,0.80762167,2.11946677
137,0.80672407,2.10428162
138,0.80031872,2.10904665
139,0.79773810,2.09082729
140,0.79844955,2.24010457
141,0.82671917,2.09590620
142,0.80494717,2.10056089
143,0.78780974,2.13171932
144,0.78048408,2.24701929
145,0.78264857,2.16596493
146,0.78041336,2.31092791
147,0.78003199,2.27198331
148,0.78665831,2.12878011
149,0.79403248,2.23106626
150,0.87246575,2.24447747
