epoch,train_loss,val_loss
1,0.37523759,0.25732029
2,0.22737732,0.19234706
3,0.18150187,0.17590712
4,0.15830503,0.15601110
5,0.14110025,0.15531158
6,0.13325745,0.14588354
7,0.12458705,0.14586983
8,0.11876324,0.13611739
9,0.11373813,0.13563998
10,0.11076056,0.13599839
11,0.10715611,0.13257491
12,0.10599359,0.13460292
13,0.10140423,0.12892458
14,0.09655618,0.13002706
15,0.09730820,0.12269369
16,0.09861380,0.14485430
17,0.09449695,0.12711650
18,0.09193313,0.12702701
19,0.09248016,0.13871470
20,0.09016366,0.12669673
21,0.08968199,0.12799760
22,0.08702186,0.12582058
23,0.08822720,0.14386399
24,0.08708053,0.15734682
25,0.08738521,0.12873293
26,0.08494623,0.13045944
27,0.08493138,0.13933451
28,0.08360517,0.13454759
29,0.08259605,0.13728065
30,0.08138491,0.12978378
31,0.08064730,0.14995024
32,0.08163182,0.15027992
33,0.08124208,0.14411351
34,0.07717483,0.13805629
35,0.07642808,0.14185020
36,0.07640118,0.13416015
37,0.07674188,0.13550360
38,0.07546476,0.12128168
39,0.07550309,0.14438781
40,0.07521036,0.12895103
41,0.07220604,0.13986394
42,0.07552332,0.13621930
43,0.07690397,0.12329180
44,0.07322415,0.11999858
45,0.07523087,0.13490918
46,0.08080410,0.12920735
47,0.07187883,0.13092958
48,0.07131032,0.12652364
49,0.07079038,0.12925573
50,0.07250076,0.13133192
51,0.06907563,0.14955270
52,0.07284615,0.12806166
53,0.06764858,0.12995947
54,0.06838085,0.12903619
55,0.06903990,0.11594742
56,0.06604942,0.15242184
57,0.06765691,0.13322313
58,0.07074520,0.16491932
59,0.07222115,0.15336881
60,0.06573943,0.15018417
61,0.06933286,0.12675286
62,0.06554914,0.12415938
63,0.06410138,0.12293802
64,0.06507552,0.13051242
65,0.06332848,0.12726247
66,0.06507545,0.11970179
67,0.06573770,0.11893414
68,0.06255253,0.11142888
69,0.06604390,0.12650881
70,0.06482097,0.12154429
71,0.06581577,0.12861108
72,0.06297624,0.13153073
73,0.06255472,0.11376828
74,0.06246814,0.12166317
75,0.06265958,0.10911335
76,0.06125407,0.14331731
77,0.06130330,0.13888351
78,0.06305182,0.13048894
79,0.06154257,0.12720025
80,0.06174532,0.13089434
81,0.06233046,0.13131563
82,0.06500530,0.12298548
83,0.06049396,0.14393323
84,0.06030504,0.17079628
85,0.05845767,0.11853997
86,0.05932668,0.10546638
87,0.06036978,0.13214654
88,0.06946974,0.13572693
89,0.05961948,0.12211349
90,0.05783135,0.12351627
91,0.05574781,0.13038108
92,0.05831185,0.14707329
93,0.05790687,0.13765095
94,0.05848197,0.11288289
95,0.05740654,0.13257977
96,0.05499402,0.14185681
97,0.06099831,0.12754531
98,0.05586113,0.12576837
99,0.05586921,0.13136060
100,0.05672158,0.12630295
101,0.05558316,0.13037910
102,0.05749293,0.12238460
103,0.05601848,0.12751988
104,0.05448536,0.12906004
105,0.05572902,0.14264207
106,0.05447760,0.19456946
107,0.05634239,0.15499662
108,0.05337955,0.13914605
109,0.05619706,0.15444424
110,0.05352955,0.11167413
111,0.05506859,0.12298985
112,0.05592358,0.14637181
113,0.05470493,0.11857889
114,0.05326429,0.12974101
115,0.05057047,0.14489823
116,0.05337267,0.12962745
117,0.05278000,0.13714307
118,0.05438389,0.11798699
119,0.05594568,0.12368627
120,0.05067720,0.13288296
121,0.05415882,0.11590029
122,0.05179739,0.12931935
123,0.05043039,0.13039532
124,0.05757194,0.11738040
125,0.05030573,0.12231393
126,0.05060512,0.19117279
127,0.05070959,0.11334616
128,0.05225969,0.11074493
129,0.05050716,0.15534024
130,0.04955271,0.13386370
131,0.05078070,0.14405481
132,0.05038922,0.13125224
133,0.05116730,0.13796728
134,0.05022250,0.12787227
135,0.04748197,0.15763290
136,0.04737161,0.13990629
137,0.04962196,0.15242520
138,0.05117853,0.13597316
139,0.04991003,0.12765512
140,0.04696474,0.13968630
141,0.04860146,0.12741842
142,0.04727358,0.15813439
143,0.04628224,0.11664294
144,0.04619878,0.13832070
145,0.04954431,0.12311335
146,0.05259485,0.13614854
147,0.04740179,0.13123530
148,0.04765369,0.13602057
149,0.04884934,0.13799304
150,0.05106114,0.12830938
